command_forward,R_tau_ff_4,R_tau_ff_5,,L_tau_ff_4,L_tau_ff_5,,L_tau_actual_0,L_tau_actual_1,L_tau_actual_2,L_tau_actual_3,L_tau_actual_4,L_tau_actual_5,,R_tau_actual_0,R_tau_actual_1,R_tau_actual_2,R_tau_actual_3,R_tau_actual_4,R_tau_actual_5,,L_q_des_0,L_q_des_1,L_q_des_2,L_q_des_3,L_q_des_4,L_q_des_5,,R_q_des_0,R_q_des_1,R_q_des_2,R_q_des_3,R_q_des_4,R_q_des_5,,L_q_0,L_q_1,L_q_2,L_q_3,L_q_4,L_q_5,,R_q_0,R_q_1,R_q_2,R_q_3,R_q_4,R_q_5,,L_qd_des_0,L_qd_des_1,L_qd_des_2,L_qd_des_3,L_qd_des_4,L_qd_des_5,,R_qd_des_0,R_qd_des_1,R_qd_des_2,R_qd_des_3,R_qd_des_4,R_qd_des_5,,L_qd_0,L_qd_1,L_qd_2,L_qd_3,L_qd_4,L_qd_5,,R_qd_0,R_qd_1,R_qd_2,R_qd_3,R_qd_4,R_qd_5
0,0,0,,0,0,,1.86186,1.16919,1.09581,0.179889,0,0,,-0.542775,-0.229866,-2.52532,-0.221584,0,0,,0.29697,0.288943,0.0295716,1.09127,0,0,,0.0923416,-0.2839,0.0522514,1.11178,0,0,,0.253297,0.303801,-0.0500285,1.13333,0,0,,0.0419946,-0.310405,0.232008,1.19611,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.633214,-0.168807,2.2382,-2.21074,0,0,,0.957161,-0.0792403,-4.99507,-4.3288,0,0,
0,0,0,,0,0,,0.556859,-0.212745,0.472905,0.264257,0,0,,0.528361,0.569721,-1.09759,0.477831,0,0,,0.29697,0.288943,0.0295716,1.09127,0,0,,0.0923416,-0.2839,0.0522514,1.11178,0,0,,0.254586,0.303453,-0.0455139,1.12906,0,0,,0.0440236,-0.310423,0.221758,1.18766,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.644622,-0.173702,2.25731,-2.13321,0,0,,1.0145,-0.00893604,-5.12472,-4.22201,0,0,
0,0,0,,0,0,,0.52537,-0.203349,0.373054,0.310823,0,0,,0.459111,0.534927,-0.827782,0.593318,0,0,,0.29697,0.288943,0.0295716,1.09127,0,0,,0.0923416,-0.2839,0.0522514,1.11178,0,0,,0.255878,0.303094,-0.0409838,1.12497,0,0,,0.0461376,-0.310305,0.211309,1.17949,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.646049,-0.179477,2.26504,-2.04369,0,0,,1.05699,0.0590078,-5.22496,-4.08755,0,0,
0,0,0,,0,0,,0.498815,-0.193282,0.278589,0.347808,0,0,,0.395585,0.498595,-0.568663,0.689588,0,0,,0.29697,0.288943,0.0295716,1.09127,0,0,,0.0923416,-0.2839,0.0522514,1.11178,0,0,,0.257157,0.302723,-0.0364587,1.12108,0,0,,0.0483099,-0.310056,0.200715,1.17163,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.639391,-0.185842,2.26258,-1.94457,0,0,,1.08615,0.124378,-5.29672,-3.92946,0,0,
0,0,0,,0,0,,0.476568,-0.182666,0.189318,0.376031,0,0,,0.337559,0.460934,-0.320916,0.76772,0,0,,0.29697,0.288943,0.0295716,1.09127,0,0,,0.0923416,-0.2839,0.0522514,1.11178,0,0,,0.25841,0.302338,-0.0319568,1.11741,0,0,,0.0505168,-0.309682,0.190033,1.16412,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.626219,-0.192563,2.25094,-1.83801,0,0,,1.10344,0.186948,-5.34113,-3.75163,0,0,
0,0,0,,0,0,,0.458106,-0.171603,0.105099,0.39627,0,0,,0.284777,0.422172,-0.0850624,0.828869,0,0,,0.29697,0.288943,0.0295716,1.09127,0,0,,0.0923416,-0.2839,0.0522514,1.11178,0,0,,0.259625,0.301939,-0.0274948,1.11396,0,0,,0.0527373,-0.309189,0.179314,1.15701,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.607844,-0.199455,2.231,-1.72593,0,0,,1.11026,0.246494,-5.3595,-3.55774,0,0,
0,0,0,,0,0,,0.442979,-0.160179,0.025826,0.40927,0,0,,0.236955,0.382538,0.138503,0.874235,0,0,,0.29697,0.288943,0.0295716,1.09127,0,0,,0.0923416,-0.2839,0.0522514,1.11178,0,0,,0.260796,0.301526,-0.0230877,1.11074,0,0,,0.0549532,-0.308584,0.168607,1.15031,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.585368,-0.206373,2.20354,-1.61007,0,0,,1.10795,0.302821,-5.35324,-3.35125,0,0,
0,0,0,,0,0,,0.430802,-0.148465,-0.0485856,0.415744,0,0,,0.193795,0.342262,0.3495,0.905043,0,0,,0.29697,0.288943,0.0295716,1.09127,0,0,,0.0923416,-0.2839,0.0522514,1.11178,0,0,,0.261916,0.3011,-0.0187492,1.10775,0,0,,0.0571487,-0.307872,0.15796,1.14404,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.559721,-0.213205,2.16925,-1.49198,0,0,,1.09775,0.355764,-5.32382,-3.13538,0,0,
0,0,0,,0,0,,0.421237,-0.136521,-0.118209,0.416375,0,0,,0.154986,0.30156,0.547741,0.922524,0,0,,0.29697,0.288943,0.0295716,1.09127,0,0,,0.0923416,-0.2839,0.0522514,1.11178,0,0,,0.262979,0.30066,-0.0144917,1.10501,0,0,,0.0593103,-0.307062,0.147414,1.13821,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.531691,-0.21987,2.12876,-1.37302,0,0,,1.08082,0.405204,-5.27276,-2.91309,0,0,
0,0,0,,0,0,,0.413985,-0.124394,-0.183114,0.411816,0,0,,0.120214,0.260632,0.733122,0.927901,0,0,,0.29697,0.288943,0.0295716,1.09127,0,0,,0.0923416,-0.2839,0.0522514,1.11178,0,0,,0.263983,0.300207,-0.0103264,1.1025,0,0,,0.0614269,-0.30616,0.137011,1.13284,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.501944,-0.226306,2.08265,-1.25442,0,0,,1.05827,0.451063,-5.20161,-2.68708,0,0,
0,0,0,,0,0,,0.40878,-0.112123,-0.243365,0.402692,0,0,,0.0891625,0.21966,0.905612,0.922378,0,0,,0.316033,0.293015,0.0108002,1.08703,0,0,,0.108251,-0.313174,0.082755,1.11332,0,0,,0.264925,0.299742,-0.00626342,1.10022,0,0,,0.063489,-0.305173,0.126787,1.12792,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.47105,-0.232473,2.03147,-1.13725,0,0,,1.03107,0.493312,-5.11191,-2.4598,0,0,
0,0,0,,0,0,,0.786629,-0.0183008,-0.674463,0.304761,0,0,,0.379711,-0.406678,1.67531,0.937889,0,0,,0.316033,0.293015,0.0108002,1.08703,0,0,,0.108251,-0.313174,0.082755,1.11332,0,0,,0.265842,0.299274,-0.00232938,1.09809,0,0,,0.0654308,-0.304129,0.116946,1.12345,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.45837,-0.234198,1.96702,-1.06532,0,0,,0.970909,0.52184,-4.92049,-2.23079,0,0,
0,0,0,,0,0,,0.774634,-0.00807046,-0.720917,0.311411,0,0,,0.370955,-0.441816,1.77642,0.91262,0,0,,0.316033,0.293015,0.0108002,1.08703,0,0,,0.108251,-0.313174,0.082755,1.11332,0,0,,0.26673,0.2988,0.00145719,1.09612,0,0,,0.067264,-0.30304,0.107501,1.11944,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.444062,-0.236848,1.89329,-0.98771,0,0,,0.91657,0.544948,-4.72258,-2.00716,0,0,
0,0,0,,0,0,,0.764026,0.00272845,-0.759783,0.312114,0,0,,0.361462,-0.475167,1.86637,0.881089,0,0,,0.316033,0.293015,0.0108002,1.08703,0,0,,0.108251,-0.313174,0.082755,1.11332,0,0,,0.267587,0.29832,0.00508172,1.0943,0,0,,0.068998,-0.301912,0.0984639,1.11586,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.428721,-0.239907,1.81226,-0.906577,0,0,,0.867036,0.563603,-4.51858,-1.7897,0,0,
0,0,0,,0,0,,0.754547,0.0138543,-0.791763,0.30781,0,0,,0.351548,-0.507039,1.94512,0.843949,0,0,,0.316033,0.293015,0.0108002,1.08703,0,0,,0.108251,-0.313174,0.082755,1.11332,0,0,,0.268413,0.297834,0.00853274,1.09266,0,0,,0.0706414,-0.300756,0.0898456,1.1127,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.412852,-0.243127,1.72551,-0.823632,0,0,,0.821706,0.578401,-4.30913,-1.57938,0,0,
0,0,0,,0,0,,0.745968,0.0251897,-0.817406,0.299283,0,0,,0.341344,-0.537574,2.01276,0.801963,0,0,,0.316033,0.293015,0.0108002,1.08703,0,0,,0.108251,-0.313174,0.082755,1.11332,0,0,,0.269207,0.297341,0.0118013,1.09118,0,0,,0.0722018,-0.299576,0.0816556,1.10995,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.396809,-0.246367,1.63429,-0.740283,0,0,,0.780165,0.58979,-4.09499,-1.37713,0,0,
0,0,0,,0,0,,0.738117,0.0366642,-0.837169,0.287219,0,0,,0.330908,-0.56686,2.06948,0.755922,0,0,,0.316033,0.293015,0.0108002,1.08703,0,0,,0.108251,-0.313174,0.082755,1.11332,0,0,,0.269968,0.296842,0.0148807,1.08986,0,0,,0.0736859,-0.29838,0.0739016,1.10758,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.380812,-0.24951,1.53969,-0.657718,0,0,,0.74207,0.598172,-3.87701,-1.18377,0,0,
0,0,0,,0,0,,0.730883,0.0482159,-0.851453,0.272246,0,0,,0.320273,-0.594978,2.11557,0.706595,0,0,,0.316033,0.293015,0.0108002,1.08703,0,0,,0.108251,-0.313174,0.082755,1.11332,0,0,,0.270698,0.296337,0.0177659,1.08871,0,0,,0.0751003,-0.297172,0.0665894,1.10558,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.36505,-0.252477,1.44261,-0.576907,0,0,,0.707197,0.603907,-3.65607,-1.00002,0,0,
0,0,0,,0,0,,0.724162,0.0597988,-0.860617,0.254917,0,0,,0.309421,-0.622002,2.15135,0.654717,0,0,,0.316033,0.293015,0.0108002,1.08703,0,0,,0.108251,-0.313174,0.082755,1.11332,0,0,,0.271398,0.295827,0.0204536,1.08771,0,0,,0.076451,-0.295957,0.0597233,1.10393,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.349661,-0.255197,1.34386,-0.498653,0,0,,0.675368,0.607353,-3.43307,-0.826402,0,0,
0,0,0,,0,0,,0.71787,0.0713663,-0.864998,0.235736,0,0,,0.298321,-0.648019,2.17717,0.600966,0,0,,0.316033,0.293015,0.0108002,1.08703,0,0,,0.108251,-0.313174,0.082755,1.11332,0,0,,0.272067,0.295312,0.0229419,1.08686,0,0,,0.0777439,-0.294739,0.0533056,1.1026,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.334756,-0.257624,1.24415,-0.423599,0,0,,0.646445,0.608826,-3.20888,-0.663362,0,0,
0,0,0,,0,0,,0.711932,0.0828852,-0.864908,0.215153,0,0,,0.286925,-0.673109,2.19343,0.545981,0,0,,0.319913,0.309532,0.00596452,1.07528,0,0,,0.0984375,-0.350096,0.102562,1.11097,0,0,,0.272708,0.294792,0.0252301,1.08616,0,0,,0.0789846,-0.293522,0.0473368,1.10158,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.320419,-0.25975,1.14409,-0.352252,0,0,,0.620325,0.608591,-2.98436,-0.511219,0,0,
0,0,0,,0,0,,0.706284,0.0943381,-0.860641,0.193569,0,0,,0.275172,-0.697335,2.20054,0.490358,0,0,,0.319913,0.309532,0.00596452,1.07528,0,0,,0.0984375,-0.350096,0.102562,1.11097,0,0,,0.273321,0.294269,0.0273186,1.08559,0,0,,0.0801784,-0.292308,0.0418161,1.10084,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.306698,-0.261561,1.04423,-0.285004,0,0,,0.596892,0.606909,-2.76035,-0.370168,0,0,
0,0,0,,0,0,,0.778482,0.436038,-0.949197,-0.0637302,0,0,,0.0667359,-1.45921,2.59509,0.387632,0,0,,0.319913,0.309532,0.00596452,1.07528,0,0,,0.0984375,-0.350096,0.102562,1.11097,0,0,,0.273912,0.293777,0.0292392,1.085,0,0,,0.0812408,-0.291098,0.0368542,1.10037,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.295235,-0.246138,0.960338,-0.293958,0,0,,0.531235,0.60523,-2.48095,-0.234165,0,0,
